id;opportunity_type_id;stage_name;stage_order;description;required_documents;required_actions;max_duration_days;min_duration_days;is_mandatory;can_skip;validation_required;created_at;updated_at
a10ba42e-3936-4230-baf8-13c76ff8ac5a;3f2eda0a-d6fa-4d06-ae88-579021a5e7db;Identification;1;"Opportunité détectée; enregistrement et qualification rapide";Lead/Contact initial,Notes de détection;Créer la fiche opportunité,Qualifier rapidement l'intérêt;7;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
d246a382-f477-4aef-8f22-4cea956dea90;3f2eda0a-d6fa-4d06-ae88-579021a5e7db;Qualification;2;Valider besoin, budget, décideurs, timing (ex. BANT);Grille BANT,Liste des décideurs;Valider BANT,Identifier décideurs,Estimer budget;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
15f049ca-a9cc-4f3f-bd54-fd63bcd99a04;3f2eda0a-d6fa-4d06-ae88-579021a5e7db;Proposition;3;Production et envoi de l'offre (technique + financière);Proposition,Chiffrage,Conditions;Rédaction offre,Validation interne,Envoi au client;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
430d59ed-86a4-4c6c-be5e-ab42dc528af2;3f2eda0a-d6fa-4d06-ae88-579021a5e7db;Négociation;4;Convergence sur prix, périmètre, délais et conditions;Versions d'offre,Table des concessions;Négociation,Alignement interne,Validation client;15;5;true;false;false;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
47f7099a-f9a0-410d-9c9d-5f4ab6cb6c67;3f2eda0a-d6fa-4d06-ae88-579021a5e7db;Décision;5;"Issue finale (gagnée/perdue); si gagnée, préparer onboarding";Bon pour accord/Contrat,Compte-rendu de décision;Clôturer opportunité,Préparer onboarding si gagnée;5;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
f65b8aa6-022b-40fe-bc35-e953b31b2a72;594d1a58-467d-44a7-b0b4-22805bc9b0c6;Identification;1;Prospection et détection d'un besoin d'audit comptable chez le client;Lead/Contact initial,Notes de détection;Créer la fiche opportunité,Qualifier rapidement l'intérêt;7;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
c600594f-2950-474b-a92b-b1590453308b;594d1a58-467d-44a7-b0b4-22805bc9b0c6;Qualification;2;Valider le périmètre d'audit, les enjeux, le budget et les décideurs;Grille BANT,Liste des décideurs;Valider BANT,Identifier décideurs,Estimer budget;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
8438786e-b7ff-463b-9be9-eaa63aa8b6da;594d1a58-467d-44a7-b0b4-22805bc9b0c6;Proposition;3;Production et envoi de la lettre de mission et de la proposition d'honoraires;Proposition,Chiffrage,Conditions;Rédaction offre,Validation interne,Envoi au client;10;3;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
940599a3-44ca-487f-9c7b-1f444b1b7775;594d1a58-467d-44a7-b0b4-22805bc9b0c6;Négociation;4;Ajustement des honoraires, du planning et du périmètre de mission;Versions d'offre,Table des concessions;Négociation,Alignement interne,Validation client;15;5;true;false;false;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
839754fd-55ba-400d-bd62-9840b83e9e14;594d1a58-467d-44a7-b0b4-22805bc9b0c6;Décision;5;Décision finale du client sur la mission d'audit (gagnée/perdue);Bon pour accord/Contrat,Compte-rendu de décision;Clôturer opportunité,Préparer onboarding si gagnée;5;1;true;false;true;Sun Dec 07 2025 18:12:08 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:17:49 GMT-0500 (UTC−05:00)
